,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,20,0,0,0,0,0,20,0,0,1,0,0,3.8
"Jan 1, 01:00 am",0,19.7,0,0,0,0,0,19.7,0,0,1,0,0,3.8
"Jan 1, 02:00 am",0,19.5,0,0,0,0,0,19.5,0,0,1,0,0,3.8
"Jan 1, 03:00 am",0,19.3,0,0,0,0,0,19.3,0,0,1,0,0,4
"Jan 1, 04:00 am",0,19,0,0,0,0,0,19,0,0,1,0,0,4
"Jan 1, 05:00 am",0,19.2,0,0,0,0,0,19.2,0,0,1,0,0,4
"Jan 1, 06:00 am",0,19.3,0,0,0,0,0,19.3,0,0,1,0,0,3.5
"Jan 1, 07:00 am",0,19.4,76.8646,0,20.1408,6,6,17.9927,5.67319,0,1,2,5.67319,3.5
"Jan 1, 08:00 am",167.063,20.2,66.2348,0,192.954,57,57,19.9625,54.8423,0.167063,1,1,54.8423,3.5
"Jan 1, 09:00 am",239.235,21.1,53.7286,0,266.595,80,80,21.4395,76.2901,0.239235,1,1,76.2901,4.9
"Jan 1, 10:00 am",487.342,21.9,42.5471,0,520.111,154,154,23.761,150.452,0.487342,1,1,150.452,4.9
"Jan 1, 11:00 am",569.334,23,34.0852,0,604.014,180,180,25.5147,176.166,0.569334,1,1,176.166,4.9
"Jan 1, 12:00 pm",364.747,24.2,30.7083,0,394.774,120,120,25.4587,115.109,0.364747,1,1,115.109,5.6
"Jan 1, 01:00 pm",519.638,25.3,33.9752,0,553.153,167,167,27.3672,162.753,0.519639,1,1,162.753,5.6
"Jan 1, 02:00 pm",331.461,25.1,42.3715,0,360.767,110,110,26.182,105.553,0.331461,1,1,105.553,5.6
