,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,-0.6,0,0,0,0,0,-0.6,0,0,1,0,0,12.6
"Jan 1, 01:00 am",0,-0.6,0,0,0,0,0,-0.6,0,0,1,0,0,12.6
"Jan 1, 02:00 am",0,0,0,0,0,0,0,0,0,0,1,0,0,12.6
"Jan 1, 03:00 am",0,0.6,0,0,0,0,0,0.6,0,0,1,0,0,11.8
"Jan 1, 04:00 am",0,1.2,0,0,0,0,0,1.2,0,0,1,0,0,11.8
"Jan 1, 05:00 am",0,1.6,0,0,0,0,0,1.6,0,0,1,0,0,11.8
"Jan 1, 06:00 am",0,2.1,0,0,0,0,0,2.1,0,0,1,0,0,9.1
"Jan 1, 07:00 am",60.2079,2.6,76.7484,114,84.0115,3,7,2.00483,29.0415,0.0602079,1,2,22.0593,9.1
"Jan 1, 08:00 am",788.598,3.2,68.7381,475,828.69,49,119,5.52646,242.324,0.788598,1,1,220.893,9.1
"Jan 1, 09:00 am",1589.44,3.9,58.5564,720,1653.07,69,265,13.1778,473.289,1.58944,1,1,455.649,4.1
"Jan 1, 10:00 am",2087.56,4.6,50.5245,809,2168.87,77,371,17.5753,620.694,2.08756,1,1,609.762,4.1
"Jan 1, 11:00 am",2344.75,5.3,45.836,845,2436.11,81,429,20.3272,701.291,2.34475,1,1,693.563,4.1
"Jan 1, 12:00 pm",2339.96,6.1,45.5467,847,2431.13,81,432,22.2385,705.835,2.33996,1,1,698.282,3.6
"Jan 1, 01:00 pm",1911.69,6.9,49.7339,543,1986.49,178,380,20.0167,571.637,1.91169,1,1,564.751,3.6
"Jan 1, 02:00 pm",136.637,7.4,57.4196,0,161.923,46,46,8.07549,43.6407,0.136637,1,1,43.6407,3.6
"Jan 1, 03:00 pm",57.4812,8,67.3917,0,81.2329,23,23,6.97336,21.7889,0.0574812,1,1,21.7889,4.3
"Jan 1, 04:00 pm",40.1965,8.6,76.0486,76,63.6206,2,6,7.53323,21.6839,0.0401965,1,3,17.1063,4.3
"Jan 1, 05:00 pm",0,8.2,0,0,0,0,0,8.2,0,0,1,0,0,4.3
"Jan 1, 06:00 pm",0,7.8,0,0,0,0,0,7.8,0,0,1,0,0,6.9
"Jan 1, 07:00 pm",0,7.3,0,0,0,0,0,7.3,0,0,1,0,0,6.9
"Jan 1, 08:00 pm",0,6.5,0,0,0,0,0,6.5,0,0,1,0,0,6.9
"Jan 1, 09:00 pm",0,5.6,0,0,0,0,0,5.6,0,0,1,0,0,4
"Jan 1, 10:00 pm",0,4.7,0,0,0,0,0,4.7,0,0,1,0,0,4
"Jan 1, 11:00 pm",0,4,0,0,0,0,0,4,0,0,1,0,0,4
"Jan 2, 12:00 am",0,3.2,0,0,0,0,0,3.2,0,0,1,0,0,8.2
"Jan 2, 01:00 am",0,2.4,0,0,0,0,0,2.4,0,0,1,0,0,8.2
