,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,6.6,0,0,0,0,0,6.6,0,0,1,0,0,4.6
"Jan 1, 01:00 am",0,6.2,0,0,0,0,0,6.2,0,0,1,0,0,4.6
"Jan 1, 02:00 am",0,5.7,0,0,0,0,0,5.7,0,0,1,0,0,5.2
"Jan 1, 03:00 am",0,5.2,0,0,0,0,0,5.2,0,0,1,0,0,5.2
"Jan 1, 04:00 am",0,4.6,0,0,0,0,0,4.6,0,0,1,0,0,5.2
"Jan 1, 05:00 am",0,3.9,0,0,0,0,0,3.9,0,0,1,0,0,7.6
"Jan 1, 06:00 am",0,3.3,0,0,0,0,0,3.3,0,0,1,0,0,7.6
"Jan 1, 07:00 am",62.8732,3,77.8268,122,86.7277,3,9,2.34545,30.4314,0.0628732,1,2,22.8055,7.6
"Jan 1, 08:00 am",806.177,2.6,68.6329,499,846.722,50,141,8.59841,251.12,0.806177,1,1,228.725,1
"Jan 1, 09:00 am",1659.99,2.3,56.4103,756,1725.99,61,323,17.5687,501.177,1.65999,1,1,485.234,1
"Jan 1, 10:00 am",2315.14,3.9,45.5829,858,2405.31,85,492,26.7552,713.331,2.31514,1,1,705.655,1
"Jan 1, 11:00 am",2818.78,5.4,37.4476,921,2930.33,72,583,16.6991,824.405,2.81878,1,1,820.576,8.5
"Jan 1, 12:00 pm",2904.73,7,34.0173,914,3020.17,77,612,18.8679,856.761,2.90473,1,1,854.114,8.5
"Jan 1, 01:00 pm",2817.55,7.8,36.6442,923,2929.04,72,591,19.3756,833.802,2.81755,1,1,830.268,8.5
"Jan 1, 02:00 pm",2378.25,8.6,44.2594,881,2470.96,67,496,22.6289,718.024,2.37825,1,1,711.012,5
"Jan 1, 03:00 pm",1832.4,9.4,54.8106,837,1904.36,57,363,20.1119,557.354,1.8324,1,1,541.637,5
"Jan 1, 04:00 pm",1016.19,9.2,66.8944,666,1062.36,44,180,15.0522,322.58,1.01619,1,1,295.292,5
"Jan 1, 05:00 pm",96.1354,9.1,76.9546,199,120.63,0,8,9.23783,44.919,0.0961354,1,3,32.6768,3.3
"Jan 1, 06:00 pm",0,9,0,0,0,0,0,9,0,0,1,0,0,3.3
"Jan 1, 07:00 pm",0,8.1,0,0,0,0,0,8.1,0,0,1,0,0,3.3
