,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,15.8,0,0,0,0,0,15.8,0,0,1,0,0,4.8
"Jan 1, 01:00 am",0,15.4,0,0,0,0,0,15.4,0,0,1,0,0,4.8
"Jan 1, 02:00 am",0,14.9,0,0,0,0,0,14.9,0,0,1,0,0,4.8
"Jan 1, 03:00 am",0,14.4,0,0,0,0,0,14.4,0,0,1,0,0,5.4
"Jan 1, 04:00 am",0,14,0,0,0,0,0,14,0,0,1,0,0,5.4
"Jan 1, 05:00 am",0,13.1,0,0,0,0,0,13.1,0,0,1,0,0,5.4
"Jan 1, 06:00 am",0,12.3,0,0,0,0,0,12.3,0,0,1,0,0,3.2
"Jan 1, 07:00 am",0,11.4,79.0176,0,0,0,0,11.4,0,0,1,2,0,3.2
"Jan 1, 08:00 am",35.8999,11.3,71.5163,0,59.243,17,17,9.92343,16.0964,0.0358999,1,1,16.0964,3.2
"Jan 1, 09:00 am",1381.96,11.2,59.456,492,1438.92,141,287,19.4845,420.892,1.38196,1,1,408.081,3.3
"Jan 1, 10:00 am",2124.9,11.1,48.7549,790,2207.63,100,437,25.7457,653.825,2.1249,1,1,644.577,3.3
"Jan 1, 11:00 am",2263.63,11.7,40.5895,700,2351.75,127,485,27.8777,697.6,2.26363,1,1,693.632,3.3
"Jan 1, 12:00 pm",2674.61,12.3,36.7157,812,2779.78,119,563,24.293,809.242,2.67461,1,1,806.11,7.6
"Jan 1, 01:00 pm",2688.56,12.9,38.4597,932,2794.35,67,562,25.1381,817.845,2.68856,1,1,813.554,7.6
"Jan 1, 02:00 pm",2367.63,12.7,45.1734,901,2459.91,63,481,23.4227,718.23,2.36763,1,1,710.453,7.6
"Jan 1, 03:00 pm",1757.68,12.5,55.0589,781,1827.02,64,338,20.1831,534.745,1.75768,1,1,519.81,7.8
"Jan 1, 04:00 pm",901.616,12.3,66.6949,541,944.671,51,159,16.0607,285.7,0.901616,1,1,263.773,7.8
"Jan 1, 05:00 pm",98.8161,11.1,76.6336,198,123.362,0,10,11.0041,45.7732,0.0988161,1,3,33.6774,7.8
"Jan 1, 06:00 pm",0,10,0,0,0,0,0,10,0,0,1,0,0,6.3
"Jan 1, 07:00 pm",0,8.8,0,0,0,0,0,8.8,0,0,1,0,0,6.3
"Jan 1, 08:00 pm",0,7.6,0,0,0,0,0,7.6,0,0,1,0,0,6.3
"Jan 1, 09:00 pm",0,6.5,0,0,0,0,0,6.5,0,0,1,0,0,6.5
"Jan 1, 10:00 pm",0,5.3,0,0,0,0,0,5.3,0,0,1,0,0,6.5
"Jan 1, 11:00 pm",0,4.5,0,0,0,0,0,4.5,0,0,1,0,0,6.5
"Jan 2, 12:00 am",0,3.8,0,0,0,0,0,3.8,0,0,1,0,0,6
"Jan 2, 01:00 am",0,3,0,0,0,0,0,3,0,0,1,0,0,6
"Jan 2, 02:00 am",0,2.4,0,0,0,0,0,2.4,0,0,1,0,0,6
"Jan 2, 03:00 am",0,1.8,0,0,0,0,0,1.8,0,0,1,0,0,4.7
