,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","Diffuse irradiance | (W/m2)","DC array power | (W)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,-5.5,0,0,0,0,0,-5.5,0,0,1,0,0,1.9
"Jan 1, 01:00 am",0,-5.4,0,0,0,0,0,-5.4,0,0,1,0,0,1.9
"Jan 1, 02:00 am",0,-5,0,0,0,0,0,-5,0,0,1,0,0,1.9
"Jan 1, 03:00 am",0,-4.6,0,0,0,0,0,-4.6,0,0,1,0,0,2.9
"Jan 1, 04:00 am",0,-4.2,0,0,0,0,0,-4.2,0,0,1,0,0,2.9
"Jan 1, 05:00 am",0,-3.7,0,0,0,0,0,-3.7,0,0,1,0,0,2.9
"Jan 1, 06:00 am",0,-3.3,0,0,0,0,0,-3.3,0,0,1,0,0,2.4
"Jan 1, 07:00 am",53.2398,-2.9,75.1641,42,7,76.9109,9,-4.45935,22.1242,0.0532398,1,2,19.656,2.4
"Jan 1, 08:00 am",417.838,-1.8,66.3943,119,62,449.035,82,-0.559595,121.381,0.417838,1,1,116.637,2.4
"Jan 1, 09:00 am",143.073,-0.8,57.2415,0,46,168.487,46,-1.22981,43.6418,0.143073,1,1,43.6418,5
"Jan 1, 10:00 am",220.926,0.3,50.6333,0,68,247.909,68,0.157639,64.5887,0.220926,1,1,64.5887,5
"Jan 1, 11:00 am",415.952,0.6,47.6731,0,118,447.108,118,1.53348,117.165,0.415952,1,1,117.165,5
"Jan 1, 12:00 pm",1105.54,1,49.0333,188,161,1154.24,229,5.66329,310.104,1.10554,1,1,307.852,5.3
"Jan 1, 01:00 pm",308.939,1.3,54.3882,0,90,337.762,90,2.04467,88.7029,0.308939,1,1,88.7029,5.3
"Jan 1, 02:00 pm",692.69,1.7,62.709,191,89,730.36,129,4.21913,199.727,0.69269,1,1,193.593,5.3
