,AC inverter power | (W),Ambient temperature | (C),Angle of incidence | (deg),Beam irradiance | (W/m2),Diffuse irradiance | (W/m2),DC array power | (W),Global horizontal irradiance | (W/m2),Module temperature | (C),Plane of array irradiance | (W/m2),Power generated by system | (kW),Shading factor for beam radiation,Sun up over horizon | (0/1),Transmitted plane of array irradiance | (W/m2),Wind speed | (m/s)
"Jan 1, 12:00 am",0,1.5,0,0,0,0,0,1.5,0,0,1,0,0,9.9
"Jan 1, 01:00 am",0,1.3,0,0,0,0,0,1.3,0,0,1,0,0,9.9
"Jan 1, 02:00 am",0,1,0,0,0,0,0,1,0,0,1,0,0,9
"Jan 1, 03:00 am",0,0.8,0,0,0,0,0,0.8,0,0,1,0,0,9
"Jan 1, 04:00 am",0,0.1,0,0,0,0,0,0.1,0,0,1,0,0,9
"Jan 1, 05:00 am",0,-0.5,0,0,0,0,0,-0.5,0,0,1,0,0,8.8
"Jan 1, 06:00 am",0,-1.1,0,0,0,0,0,-1.1,0,0,1,0,0,8.8
"Jan 1, 07:00 am",83.9212,-1.3,76.9726,141,3,108.179,9,-1.81475,36.6297,0.0839212,1,2,27.9524,8.8
"Jan 1, 08:00 am",898.006,-1.5,68.2959,545,48,940.964,138,1.38116,270.466,0.898006,1,1,246.422,8.2
"Jan 1, 09:00 am",1759.45,-1.8,57.3818,774,62,1828.86,297,4.66148,503.168,1.75945,1,1,485.685,8.2
"Jan 1, 10:00 am",2281.27,-0.3,48.419,837,67,2370.09,407,8.49991,649.487,2.28127,1,1,639.957,8.2
"Jan 1, 11:00 am",2637.27,1.2,42.7027,891,74,2740.83,488,12.1771,758.283,2.63727,1,1,752.125,7.7
"Jan 1, 12:00 pm",2665.17,2.7,41.6057,892,75,2769.93,498,13.9972,771.863,2.66517,1,1,766.295,7.7
"Jan 1, 01:00 pm",2460.65,3.3,45.4654,875,72,2556.74,454,13.7423,714.26,2.46065,1,1,706.511,7.7
"Jan 1, 02:00 pm",1980,4,53.2089,816,66,2057.29,353,13.1041,580.473,1.98,1,1,566.882,6.8
"Jan 1, 03:00 pm",1264.56,4.7,63.4133,684,55,1317.93,210,10.4072,381.78,1.26456,1,1,358.845,6.8
"Jan 1, 04:00 pm",373.8,4.4,74.4151,333,22,404.024,49,5.70759,126.894,0.3738,1,3,107.78,6.8
