,AC inverter power | (W),Ambient temperature | (C),Angle of incidence | (deg),Beam irradiance | (W/m2),DC array power | (W),Diffuse irradiance | (W/m2),Global horizontal irradiance | (W/m2),Module temperature | (C),Plane of array irradiance | (W/m2),Power generated by system | (kW),Shading factor for beam radiation,Sun up over horizon | (0/1),Transmitted plane of array irradiance | (W/m2),Wind speed | (m/s)
"Jan 1, 12:00 am",0,15.4,0,0,0,0,0,15.4,0,0,1,0,0,6.6
"Jan 1, 01:00 am",0,15.3,0,0,0,0,0,15.3,0,0,1,0,0,6.6
"Jan 1, 02:00 am",0,15.9,0,0,0,0,0,15.9,0,0,1,0,0,6.6
"Jan 1, 03:00 am",0,16.5,0,0,0,0,0,16.5,0,0,1,0,0,5.3
"Jan 1, 04:00 am",0,17.1,0,0,0,0,0,17.1,0,0,1,0,0,5.3
"Jan 1, 05:00 am",0,17.1,0,0,0,0,0,17.1,0,0,1,0,0,5.3
"Jan 1, 06:00 am",0,17.1,0,0,0,0,0,17.1,0,0,1,0,0,5.3
"Jan 1, 07:00 am",0,17.1,78.124,0,6.95307,2,2,15.8597,1.93969,0,1,2,1.93969,5.3
"Jan 1, 08:00 am",133.631,16.7,70.0516,0,158.858,45,45,16.2647,44.3976,0.133631,1,1,44.3976,5.3
"Jan 1, 09:00 am",144.592,16.3,58.4471,0,170.036,50,50,15.9142,47.4464,0.144592,1,1,47.4464,3.8
"Jan 1, 10:00 am",1341.67,15.9,48.4552,285,1397.38,186,306,23.5794,407.132,1.34167,1,1,403.877,3.8
"Jan 1, 11:00 am",2051.7,16.3,41.329,572,2131.66,168,450,29.8115,638.044,2.0517,1,1,634.565,3.8
"Jan 1, 12:00 pm",2480.71,16.8,38.7027,693,2577.64,178,536,27.8017,763.249,2.48071,1,1,759.98,7.9
"Jan 1, 01:00 pm",889.395,17.2,41.445,55,932.124,211,238,20.9017,266.418,0.889395,1,1,266.08,7.9
"Jan 1, 02:00 pm",1051.55,17,48.6532,156,1098.71,189,254,20.9768,315.553,1.05155,1,1,313.742,7.9
"Jan 1, 03:00 pm",1399.58,16.8,58.6936,565,1457.09,113,281,23.7182,435.379,1.39958,1,1,421.406,6
"Jan 1, 04:00 pm",668.183,16.5,70.3247,499,705.248,38,110,19.8568,224.659,0.668183,1,1,200.352,6
"Jan 1, 05:00 pm",21.9901,15.3,78.2524,82,45.072,1,4,14.7047,17.6651,0.0219901,1,3,12.5086,6
"Jan 1, 06:00 pm",0,14.1,0,0,0,0,0,14.1,0,0,1,0,0,8.7
"Jan 1, 07:00 pm",0,13,0,0,0,0,0,13,0,0,1,0,0,8.7
"Jan 1, 08:00 pm",0,11.7,0,0,0,0,0,11.7,0,0,1,0,0,8.7
"Jan 1, 09:00 pm",0,10.4,0,0,0,0,0,10.4,0,0,1,0,0,10
"Jan 1, 10:00 pm",0,9.1,0,0,0,0,0,9.1,0,0,1,0,0,10
"Jan 1, 11:00 pm",0,8.1,0,0,0,0,0,8.1,0,0,1,0,0,10
"Jan 2, 12:00 am",0,7.1,0,0,0,0,0,7.1,0,0,1,0,0,8.1
"Jan 2, 01:00 am",0,6.2,0,0,0,0,0,6.2,0,0,1,0,0,8.1
"Jan 2, 02:00 am",0,5.3,0,0,0,0,0,5.3,0,0,1,0,0,8.1
"Jan 2, 03:00 am",0,4.5,0,0,0,0,0,4.5,0,0,1,0,0,7.9
"Jan 2, 04:00 am",0,3.7,0,0,0,0,0,3.7,0,0,1,0,0,7.9
"Jan 2, 05:00 am",0,3.6,0,0,0,0,0,3.6,0,0,1,0,0,7.9
"Jan 2, 06:00 am",0,3.4,0,0,0,0,0,3.4,0,0,1,0,0,4.8
"Jan 2, 07:00 am",38.0692,3.3,78.1726,100,61.4532,2,5,2.26915,22.4361,0.0380692,1,2,16.1542,4.8
"Jan 2, 08:00 am",776.384,3.7,70.1059,541,816.163,42,123,7.18458,245.204,0.776384,1,1,219.118,4.8
"Jan 2, 09:00 am",1585.56,4.1,58.4795,788,1649.06,57,295,21.4758,491.188,1.58556,1,1,471.983,0.4
"Jan 2, 10:00 am",2130.25,4.5,48.4561,876,2213.18,65,433,29.2286,666.996,2.13025,1,1,656.991,0.4
"Jan 2, 11:00 am",2441.09,6,41.2868,916,2536.38,70,522,35.1705,780.563,2.44109,1,1,775.015,0.4
"Jan 2, 12:00 pm",2676.84,7.4,38.6131,928,2782.12,72,553,26.5844,819.879,2.67684,1,1,815.54,3.4
"Jan 2, 01:00 pm",2532.75,8.8,41.3214,916,2631.85,69,520,27.1094,778.982,2.53275,1,1,773.415,3.4
"Jan 2, 02:00 pm",2167.7,9.3,48.5153,876,2252.07,64,430,24.9328,665.096,2.1677,1,1,655.042,3.4
"Jan 2, 03:00 pm",1543.43,9.8,58.5537,786,1605.56,55,291,25.2458,486.936,1.54343,1,1,467.682,1.3
